ticker,year,month,day,filename,BrexitExposure,BrexitRisk,BrexitSentiment,NonBrexitRisk,NonBrexitSentiment
AZN.L,2020,04,29,/Users/min/brexit-uncertainty/src/processed/2020/AZN.L-2020-04-29-138376894593.txt,0.0,0.0,-0.0,11.0,55.0
7203.T,2020,11,05,/Users/min/brexit-uncertainty/src/processed/2020/7203.T-2020-11-05-138417859589.txt,0.0,0.0,-0.0,6.0,24.0
JNJ.N,2020,04,14,/Users/min/brexit-uncertainty/src/processed/2020/JNJ.N-2020-04-14-139742171651.txt,6.661337596589395e-05,0.0,-0.0,13.0,54.0
KR.N,2020,09,11,/Users/min/brexit-uncertainty/src/processed/2020/KR.N-2020-09-11-137466655890.txt,0.0,0.0,-0.0,2.0,120.0
TSCO.L,2020,04,08,/Users/min/brexit-uncertainty/src/processed/2020/TSCO.L-2020-04-08-141123829216.txt,0.0,0.0,-0.0,3.0,4.0
KR.N,2020,03,05,/Users/min/brexit-uncertainty/src/processed/2020/KR.N-2020-03-05-137836066053.txt,0.0,0.0,-0.0,1.0,130.0
7203.T,2020,05,12,/Users/min/brexit-uncertainty/src/processed/2020/7203.T-2020-05-12-137263838697.txt,0.0,0.0,-0.0,5.0,24.0
BP.L,2020,04,28,/Users/min/brexit-uncertainty/src/processed/2020/BP.L-2020-04-28-140238367987.txt,0.0,0.0,-0.0,14.0,-11.0
DPWGn.DE,2020,04,08,/Users/min/brexit-uncertainty/src/processed/2020/DPWGn.DE-2020-04-08-140739935229.txt,0.0,0.0,-0.0,11.0,11.0
BARC.L,2020,10,23,/Users/min/brexit-uncertainty/src/processed/2020/BARC.L-2020-10-23-139436476229.txt,0.0006891271056661562,0.0,-18.11111111111111,15.0,-55.888888888888886
KR.N,2020,06,18,/Users/min/brexit-uncertainty/src/processed/2020/KR.N-2020-06-18-138108167439.txt,0.0,0.0,-0.0,10.0,109.0
KOG.OL,2020,10,30,/Users/min/brexit-uncertainty/src/processed/2020/KOG.OL-2020-10-30-139260118572.txt,0.0,0.0,-0.0,5.0,17.0
AZN.L,2020,11,05,/Users/min/brexit-uncertainty/src/processed/2020/AZN.L-2020-11-05-137119949493.txt,0.0,0.0,-0.0,12.0,78.0
F.N,2020,07,30,/Users/min/brexit-uncertainty/src/processed/2020/F.N-2020-07-30-138147513089.txt,0.0,0.0,-0.0,14.0,101.0
7203.T,2020,11,05,/Users/min/brexit-uncertainty/src/processed/2020/7203.T-2020-11-05-138263116087.txt,0.0,0.0,-0.0,1.0,49.0
JNJ.N,2020,07,16,/Users/min/brexit-uncertainty/src/processed/2020/JNJ.N-2020-07-16-140816144559.txt,0.0,0.0,-0.0,4.0,28.0
